DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
True,0.005,25,1.5,1.0,5,0.9046,0.9054,0.9046,0.9046,477.62,0.53,a
True,0.005,25,1.5,1.5,5,0.9081,0.9083,0.9081,0.9079,477.91,0.29,a
False,0.005,50,N/A,N/A,N/A,0.9889,0.9889,0.9889,0.9889,91.56,Sem privacidade diferencial,a
True,0.005,50,0.5,0.5,5,0.7887,0.7966,0.7887,0.7795,241.40,6.95,a
True,0.005,50,0.5,0.5,10,0.8229,0.8251,0.8229,0.8170,241.05,6.95,a
True,0.005,50,0.5,1.0,5,0.8178,0.8220,0.8178,0.8149,241.05,0.78,a
True,0.005,50,0.5,1.0,10,0.7842,0.7862,0.7842,0.7769,242.16,0.78,a
True,0.005,50,0.5,1.5,5,0.8210,0.8219,0.8210,0.8175,241.79,0.42,a
True,0.005,50,0.5,1.5,10,0.7787,0.7782,0.7787,0.7714,241.91,0.42,a
True,0.005,50,1.0,0.5,5,0.8967,0.8967,0.8967,0.8965,242.26,6.95,a
True,0.005,50,1.0,0.5,10,0.8302,0.8292,0.8302,0.8290,242.19,6.95,a
True,0.005,50,1.0,1.0,5,0.8172,0.8161,0.8172,0.8142,242.28,0.78,a
True,0.005,50,1.0,1.0,10,0.8311,0.8299,0.8311,0.8299,241.91,0.78,a
True,0.005,50,1.0,1.5,5,0.8170,0.8165,0.8170,0.8134,242.40,0.42,a
True,0.005,50,1.0,1.5,10,0.8606,0.8603,0.8606,0.8601,242.22,0.42,a
True,0.005,50,1.5,0.5,5,0.9103,0.9104,0.9103,0.9103,241.45,6.95,a
True,0.005,50,1.5,0.5,10,0.8919,0.8927,0.8919,0.8919,242.14,6.95,a
True,0.005,50,1.5,1.0,5,0.8698,0.8696,0.8698,0.8693,242.27,0.78,a
True,0.005,50,1.5,1.0,10,0.9050,0.9053,0.9050,0.9048,241.99,0.78,a
True,0.005,50,1.5,1.5,5,0.8851,0.8855,0.8851,0.8848,241.86,0.42,a
True,0.005,50,1.5,1.5,10,0.8914,0.8919,0.8914,0.8915,242.17,0.42,a
False,0.005,100,N/A,N/A,N/A,0.9847,0.9848,0.9847,0.9847,50.51,Sem privacidade diferencial,a
True,0.005,100,0.5,0.5,5,0.7415,0.7365,0.7415,0.7278,128.22,9.62,a
True,0.005,100,0.5,0.5,10,0.7148,0.7158,0.7148,0.7061,128.44,9.62,a
True,0.005,100,0.5,1.0,5,0.7262,0.7224,0.7262,0.7110,128.23,1.15,a
True,0.005,100,0.5,1.0,10,0.6885,0.6787,0.6885,0.6578,128.53,1.15,a
True,0.005,100,0.5,1.5,5,0.6735,0.6908,0.6735,0.6401,128.52,0.61,a
True,0.005,100,0.5,1.5,10,0.7215,0.7291,0.7215,0.7009,128.24,0.61,a
True,0.005,100,1.0,0.5,5,0.7740,0.7772,0.7740,0.7650,128.39,9.62,a
True,0.005,100,1.0,0.5,10,0.7662,0.7713,0.7662,0.7586,128.31,9.62,a
True,0.005,100,1.0,1.0,5,0.7532,0.7528,0.7532,0.7443,128.17,1.15,a
True,0.005,100,1.0,1.0,10,0.7986,0.8000,0.7986,0.7936,128.21,1.15,a
True,0.005,100,1.0,1.5,5,0.7799,0.7822,0.7799,0.7685,128.24,0.61,a
True,0.005,100,1.0,1.5,10,0.7706,0.7681,0.7706,0.7621,128.07,0.61,a
True,0.005,100,1.5,0.5,5,0.8356,0.8353,0.8356,0.8334,128.31,9.62,a
True,0.005,100,1.5,0.5,10,0.8685,0.8682,0.8685,0.8677,128.97,9.62,a
True,0.005,100,1.5,1.0,5,0.8450,0.8452,0.8450,0.8440,128.40,1.15,a
True,0.005,100,1.5,1.0,10,0.8468,0.8457,0.8468,0.8457,128.26,1.15,a
True,0.005,100,1.5,1.5,5,0.8248,0.8240,0.8248,0.8229,128.27,0.61,a
True,0.005,100,1.5,1.5,10,0.8391,0.8386,0.8391,0.8375,128.45,0.61,a
False,0.001,25,N/A,N/A,N/A,0.9821,0.9822,0.9821,0.9821,159.17,Sem privacidade diferencial,a
True,0.001,25,0.5,0.5,5,0.6548,0.6660,0.6548,0.6314,477.83,5.06,a
