DP,LR,Batch,Clip,Noise,Microbatches,Acurácia,Precisão,Recall,F1,Tempo Treinamento (s),Privacidade,Arquitetura
TRUE,"0,01",100,"0,5","0,5",10,"0,9372","0,9373","0,9372","0,9372","481,67",Epsilon = 197.798,A
FALSE,"0,01",100,"0,5",1,None,"0,9908","0,9908","0,9908","0,9908","154,82",Epsilon = 197.798,A
TRUE,"0,01",100,"0,5",1,5,"0,8639","0,8653","0,8639","0,8635","285,44",Sem DP,A
TRUE,"0,01",100,"0,5",1,10,"0,9069","0,9077","0,9069","0,9067","474,51",Epsilon = 11.105,A
FALSE,"0,01",100,"0,5","1,5",None,"0,991","0,991","0,991","0,991","144,49",Epsilon = 11.105,A
TRUE,"0,01",100,"0,5","1,5",5,"0,7079","0,7175","0,7079","0,7069","272,2",Sem DP,A
TRUE,"0,01",100,"0,5","1,5",10,"0,8723","0,8735","0,8723","0,8723",462,Epsilon = 2.618,A
FALSE,"0,01",100,1,"0,5",None,"0,9893","0,9893","0,9893","0,9893","152,33",Epsilon = 2.618,A
TRUE,"0,01",100,1,"0,5",5,"0,6921","0,7831","0,6921","0,6917","277,41",Sem DP,A
TRUE,"0,01",100,1,"0,5",10,"0,8484","0,876","0,8484","0,8466","466,7",Epsilon = 197.798,A
FALSE,"0,01",100,1,1,None,"0,9888","0,9889","0,9888","0,9888","149,78",Epsilon = 197.798,A
TRUE,"0,01",100,1,1,5,"0,6818","0,7024","0,6818","0,6757","274,81",Sem DP,A
TRUE,"0,01",100,1,1,10,"0,7259","0,7567","0,7259","0,7191","458,07",Epsilon = 11.105,A
FALSE,"0,01",100,1,"1,5",None,"0,9908","0,9908","0,9908","0,9908","151,21",Epsilon = 11.105,A
TRUE,"0,01",100,1,"1,5",5,"0,6182","0,6243","0,6182","0,6092","273,89",Sem DP,A
TRUE,"0,01",100,1,"1,5",10,"0,71","0,7227","0,71","0,7112","456,18",Epsilon = 2.618,A
FALSE,"0,01",100,"1,5","0,5",None,"0,9905","0,9905","0,9905","0,9905","140,77",Epsilon = 2.618,A
TRUE,"0,01",100,"1,5","0,5",5,"0,5333","0,6261","0,5333","0,5099","284,4",Sem DP,A
TRUE,"0,01",100,"1,5","0,5",10,"0,7765","0,7222","0,7765","0,7388","468,89",Epsilon = 197.798,A
FALSE,"0,01",100,"1,5",1,None,"0,9908","0,9908","0,9908","0,9908","154,82",Epsilon = 197.798,A
TRUE,"0,01",100,"1,5",1,5,"0,5624","0,6157","0,5624","0,5616","279,84",Sem DP,A
TRUE,"0,01",100,"1,5",1,10,"0,6302","0,659","0,6302","0,6163","454,57",Epsilon = 11.105,A
FALSE,"0,01",100,"1,5","1,5",None,"0,991","0,991","0,991","0,991","141,61",Epsilon = 11.105,A
TRUE,"0,01",100,"1,5","1,5",5,"0,2457","0,3936","0,2457","0,2295","262,17",Sem DP,A
TRUE,"0,01",100,"1,5","1,5",10,"0,4127","0,5302","0,4127","0,4163","442,03",Epsilon = 2.618,A
FALSE,"0,005",25,"0,5","0,5",None,"0,9884","0,9885","0,9884","0,9884","140,92",Epsilon = 2.618,A
TRUE,"0,005",25,"0,5","0,5",5,"0,4494","0,789","0,4494","0,3921","431,63",Sem DP,A
FALSE,"0,005",25,"0,5",1,None,"0,9879","0,988","0,9879","0,9879","140,23",Epsilon = 143.297,A
TRUE,"0,005",25,"0,5",1,5,"0,385","0,4487","0,385","0,3305","433,8",Sem DP,A
FALSE,"0,005",25,"0,5","1,5",None,"0,99","0,99","0,99","0,99","141,04",Epsilon = 6.144,A
TRUE,"0,005",25,"0,5","1,5",5,"0,3689","0,4698","0,3689","0,3386","431,71",Sem DP,A
FALSE,"0,005",25,1,"0,5",None,"0,9898","0,9899","0,9898","0,9898","140,24",Epsilon = 1.511,A
TRUE,"0,005",25,1,"0,5",5,"0,2484","0,2815","0,2484","0,1759","431,53",Sem DP,A
FALSE,"0,005",25,1,1,None,"0,9895","0,9895","0,9895","0,9895","140,61",Epsilon = 143.297,A
TRUE,"0,005",25,1,1,5,"0,2576","0,2707","0,2576","0,229","432,54",Sem DP,A
FALSE,"0,005",25,1,"1,5",None,"0,9889","0,9889","0,9889","0,9889","143,97",Epsilon = 6.144,A
TRUE,"0,005",25,1,"1,5",5,"0,1958","0,1903","0,1958","0,1649","438,48",Sem DP,A
FALSE,"0,005",25,"1,5","0,5",None,"0,9913","0,9913","0,9913","0,9913","142,46",Epsilon = 1.511,A
TRUE,"0,005",25,"1,5","0,5",5,"0,1345","0,0256","0,1345","0,0425","435,28",Sem DP,A
FALSE,"0,005",25,"1,5",1,None,"0,9895","0,9895","0,9895","0,9895","142,24",Epsilon = 143.297,A
TRUE,"0,005",25,"1,5",1,5,"0,2396","0,3098","0,2396","0,1709","435,34",Sem DP,A
FALSE,"0,005",25,"1,5","1,5",None,"0,9901","0,9901","0,9901","0,9901","141,5",Epsilon = 6.144,A
TRUE,"0,005",25,"1,5","1,5",5,"0,1933","0,2129","0,1933","0,1358","428,75",Sem DP,A
FALSE,"0,005",50,"0,5","0,5",None,"0,9823","0,983","0,9823","0,9824","140,65",Epsilon = 1.511,A
TRUE,"0,005",50,"0,5","0,5",5,"0,886","0,8892","0,886","0,8864","316,31",Sem DP,A
TRUE,"0,005",50,"0,5","0,5",10,"0,9152","0,9154","0,9152","0,9151","488,27",Epsilon = 167.930,A
FALSE,"0,005",50,"0,5",1,None,"0,9882","0,9883","0,9882","0,9882","140,72",Epsilon = 167.930,A
TRUE,"0,005",50,"0,5",1,5,"0,8314","0,8372","0,8314","0,8279","316,78",Sem DP,A
TRUE,"0,005",50,"0,5",1,10,"0,8996","0,9005","0,8996","0,8991","488,92",Epsilon = 8.181,A
FALSE,"0,005",50,"0,5","1,5",None,"0,9893","0,9893","0,9893","0,9893","141,01",Epsilon = 8.181,A
TRUE,"0,005",50,"0,5","1,5",5,"0,7272","0,7385","0,7272","0,7276","317,78",Sem DP,A
TRUE,"0,005",50,"0,5","1,5",10,"0,8719","0,8723","0,8719","0,8717","484,76",Epsilon = 1.932,A
FALSE,"0,005",50,1,"0,5",None,"0,9879","0,988","0,9879","0,9879","141,15",Epsilon = 1.932,A
TRUE,"0,005",50,1,"0,5",5,"0,5442","0,6698","0,5442","0,5149","318,12",Sem DP,A
TRUE,"0,005",50,1,"0,5",10,"0,7801","0,8374","0,7801","0,781","484,6",Epsilon = 167.930,A
FALSE,"0,005",50,1,1,None,"0,9874","0,9875","0,9874","0,9874","141,02",Epsilon = 167.930,A
TRUE,"0,005",50,1,1,5,"0,4978","0,5928","0,4978","0,49","318,78",Sem DP,A
TRUE,"0,005",50,1,1,10,"0,7721","0,7795","0,7721","0,7681","493,74",Epsilon = 8.181,A
